********************************************************************
All paintings:
Painting: title 'Painting9_0', Artist: 'Artist0'
Painting: title 'Painting7_5', Artist: 'Artist5'
Painting: title 'Painting8_5', Artist: 'Artist5'
Painting: title 'Painting11_5', Artist: 'Artist5'
Painting: title 'Painting13_5', Artist: 'Artist5'
Painting: title 'Painting14_5', Artist: 'Artist5'
Painting: title 'Painting0_6', Artist: 'Artist6'
Painting: title 'Painting2_6', Artist: 'Artist6'
Painting: title 'Painting3_6', Artist: 'Artist6'
Painting: title 'Painting4_6', Artist: 'Artist6'
Painting: title 'Painting5_6', Artist: 'Artist6'
Painting: title 'Painting6_6', Artist: 'Artist6'
Painting: title 'Painting9_6', Artist: 'Artist6'
Painting: title 'Painting10_6', Artist: 'Artist6'
Painting: title 'Painting11_6', Artist: 'Artist6'
Painting: title 'Painting12_6', Artist: 'Artist6'
Painting: title 'Painting13_6', Artist: 'Artist6'
Painting: title 'Painting14_6', Artist: 'Artist6'
Painting: title 'Painting15_6', Artist: 'Artist6'
Painting: title 'Painting1_7', Artist: 'Artist7'
Painting: title 'Painting2_7', Artist: 'Artist7'
Painting: title 'Painting4_7', Artist: 'Artist7'
Painting: title 'Painting5_7', Artist: 'Artist7'
Painting: title 'Painting6_7', Artist: 'Artist7'
Painting: title 'Painting7_7', Artist: 'Artist7'
Painting: title 'Painting8_7', Artist: 'Artist7'
Painting: title 'Painting9_7', Artist: 'Artist7'
Painting: title 'Painting10_7', Artist: 'Artist7'
Painting: title 'Painting11_7', Artist: 'Artist7'
Painting: title 'Painting12_7', Artist: 'Artist7'
Painting: title 'Painting0_8', Artist: 'Artist8'
Painting: title 'Painting1_8', Artist: 'Artist8'
Painting: title 'Painting2_8', Artist: 'Artist8'
Painting: title 'Painting3_8', Artist: 'Artist8'
Painting: title 'Painting0_9', Artist: 'Artist9'
Painting: title 'Painting2_9', Artist: 'Artist9'
Painting: title 'Painting3_9', Artist: 'Artist9'
Painting: title 'Painting4_9', Artist: 'Artist9'
Painting: title 'Painting6_9', Artist: 'Artist9'
Painting: title 'Painting7_9', Artist: 'Artist9'
Painting: title 'Painting8_9', Artist: 'Artist9'
Painting: title 'Painting0', 
Painting: title 'Painting0_0', Artist: 'Artist0'
Painting: title 'Painting6_1', Artist: 'Artist1'
Painting: title 'Painting11_1', Artist: 'Artist1'
Painting: title 'Painting1_2', Artist: 'Artist2'
Painting: title 'Painting0_3', Artist: 'Artist3'
Painting: title 'Painting14_4', Artist: 'Artist4'
Painting: title 'Painting0_5', Artist: 'Artist5'
Painting: title 'Painting5_5', Artist: 'Artist5'
Painting: title 'Painting10_5', Artist: 'Artist5'
Painting: title 'Painting12_5', Artist: 'Artist5'
Painting: title 'Painting1_6', Artist: 'Artist6'
Painting: title 'Painting7_6', Artist: 'Artist6'
Painting: title 'Painting3_7', Artist: 'Artist7'
Painting: title 'Painting14_7', Artist: 'Artist7'
Painting: title 'Painting1_9', Artist: 'Artist9'
Painting: title 'Painting6_0', Artist: 'Artist0'
Painting: title 'Painting4_2', Artist: 'Artist2'
Painting: title 'Painting5_2', Artist: 'Artist2'
Painting: title 'Painting18_6', Artist: 'Artist6'
Painting: title 'Painting5_9', Artist: 'Artist9'
Painting: title 'Painting9_5', Artist: 'Artist5'
Painting: title 'Painting0_7', Artist: 'Artist7'
Painting: title 'Painting2', 
Painting: title 'Painting1', 
Painting: title 'Painting10_1', Artist: 'Artist1'
Time elapsed: 00:00:00.0156532
********************************************************************
All paintings of Artist: 'Artist1':
Painting: title 'Painting7_1', Artist: 'Artist1'
Painting: title 'Painting0_1', Artist: 'Artist1'
Painting: title 'Painting1_1', Artist: 'Artist1'
Painting: title 'Painting2_1', Artist: 'Artist1'
Painting: title 'Painting3_1', Artist: 'Artist1'
Painting: title 'Painting4_1', Artist: 'Artist1'
Painting: title 'Painting5_1', Artist: 'Artist1'
Painting: title 'Painting8_1', Artist: 'Artist1'
Painting: title 'Painting9_1', Artist: 'Artist1'
Painting: title 'Painting12_1', Artist: 'Artist1'
Painting: title 'Painting6_1', Artist: 'Artist1'
Painting: title 'Painting11_1', Artist: 'Artist1'
Painting: title 'Painting10_1', Artist: 'Artist1'
Time elapsed: 00:00:00.0472281
********************************************************************
Painting Painting: title 'Painting1_1', Artist: 'Artist1' was in gallery Gallery: 'Gallery1' for 346 days.
Time elapsed: 00:00:01.5841999
********************************************************************
87 paintings was in gallery Gallery: 'Gallery3' since 4/10/2000 12:00:00 AM to 4/12/2000 12:00:00 AM
Time elapsed: 00:00:00.0254799
********************************************************************
Main artists of gallery Gallery: 'Gallery1'
Artist: 'Artist1'
Artist: 'Artist2'
Main artists of gallery Gallery: 'Gallery2'
Artist: 'Artist2'
Artist: 'Artist3'
Main artists of gallery Gallery: 'Gallery3'
Artist: 'Artist3'
Main artists of gallery Gallery: 'Gallery4'
Artist: 'Artist2'
Time elapsed: 00:00:00.0022401
********************************************************************
Paintings of main artists of gallery Gallery: 'Gallery1' :
Painting: title 'Painting0_1', Artist: 'Artist1'
Painting: title 'Painting8_1', Artist: 'Artist1'
Painting: title 'Painting12_1', Artist: 'Artist1'
Time elapsed: 00:00:01.3544846
********************************************************************
Artist: 'Artist3' paintings was in 
Gallery: 'Gallery1' days :137
Gallery: 'Gallery2' days :357
Gallery: 'Gallery3' days :592
Gallery: 'Gallery4' days :57
Gallery: 'Gallery5' days :634
Gallery: 'Gallery6' days :464
Time elapsed: 00:00:00.0965658
********************************************************************
Artists with minimum amount of paintings = 10 in gallery Gallery: 'Gallery1' from 4/10/2000 12:00:00 AM to 4/12/2000 12:00:00 AM
Artist: 'Artist0', 
Time elapsed: 00:00:00.0232861
********************************************************************
Galleries with max amouunt of paintings of artist Artist: 'Artist5' from 4/3/2000 12:00:00 AM to 4/4/2000 12:00:00 AM
Gallery: 'Gallery2'
Gallery: 'Gallery4'
Time elapsed: 00:00:00.0465345
********************************************************************
Artists whose paintings were in various galleries: 
Artist: 'Artist0'
Artist: 'Artist1'
Artist: 'Artist2'
Artist: 'Artist3'
Artist: 'Artist4'
Time elapsed: 00:00:00.0002690
Press any key to continue...
